Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Asset type),Custom field (Asset type),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Priority),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Menu title: ”RUTI conform SNA”,NPT-167,21652,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Feb/25 1:47 PM,25/Feb/25 3:41 PM,,,Primariatechirghiol_v1.0_english,,0,"The title of this menu is located on the left side of the page/leftsidebar, strictly above the ""Annual Reports"" section that belongs to this menu.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-123,NPT-157,NPT-159,NPT-161,NPT-163,NPT-165,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d9e8a5f,,,,,,,,,,,,NPT-123,RUTI conform SNA-leftsidebar (present on the left side of the page),,,,,,,,,,,,,,,,,0|i01mjl:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,21608,RUTI conform SNA-leftsidebar (present on the left side of the page),To Do,25/Feb/25 1:48 PM
"Section: ""Rapoarte anuale""",NPT-155,21640,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Feb/25 11:39 AM,25/Feb/25 3:41 PM,,,Primariatechirghiol_v1.0_english,,0,"The menu section ""RUTI conform SNA"", in the form of a text-link, is located on the left side of the page/leftsidebar, strictly below the aforementioned menu title.

The end user should be redirected to more information regarding the section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-123,NPT-156,NPT-157,NPT-159,NPT-161,NPT-163,NPT-165,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b8134f1,,,,,,,,,,,,NPT-123,RUTI conform SNA-leftsidebar (present on the left side of the page),,,,,,,,,,,,,,,,,0|i01mgx:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,21608,RUTI conform SNA-leftsidebar (present on the left side of the page),To Do,25/Feb/25 11:39 AM
"Menu title: ""Link-uri Utile""",NPT-137,21622,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,24/Feb/25 8:03 PM,25/Feb/25 3:41 PM,,,Primariatechirghiol_v1.0_english,,0,"The title of this menu is located on the right side of the page/sidebar, above the buttons: AM PODCA, Președintele României, Guvernul României, Senatul României, Camera Deputaților, Uniunea Europeană, Infoeuropa, Ministerul Dezvoltării Regionale și Turismului.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-124,NPT-138,NPT-139,NPT-140,NPT-143,NPT-144,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62d3f4be,,,,,,,,,,,,NPT-124,Useful links menu/sidebar (on the right),,,,,,,,,,,,,,,,,0|i01mcx:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,21609,Useful links menu/sidebar (on the right),To Do,24/Feb/25 8:03 PM
Button: ”Ministerul Dezvoltării Regionale și Turismului”,NPT-136,21621,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,24/Feb/25 8:02 PM,25/Feb/25 3:41 PM,,,Primariatechirghiol_v1.0_english,,0,"By clicking this button, the end user should be redirected to the website of the former Ministry of Regional Development and Tourism, currently the ""Ministry of Development, Public Works and Administration/Ministerul Dezvoltării, Lucrărilor Publice și Administrației"":

[https://mdlpa.ro|https://mdlpa.ro]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-124,NPT-138,NPT-139,NPT-140,NPT-142,NPT-143,NPT-144,NPT-147,NPT-149,NPT-151,NPT-153,NPT-145,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a367554,,,,,,,,,,,,NPT-124,Useful links menu/sidebar (on the right),,,,,,,,,,,,,,,,,0|i01mcp:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,21609,Useful links menu/sidebar (on the right),To Do,24/Feb/25 8:02 PM
Button: ”Infoeuropa”,NPT-135,21620,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,24/Feb/25 8:01 PM,25/Feb/25 3:41 PM,,,Primariatechirghiol_v1.0_english,,0,"By pressing this button, the end user should be redirected to the website:

[http://ec.europa.eu/romania/index_ro|http://ec.europa.eu/romania/index_ro.htm]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-124,NPT-138,NPT-139,NPT-140,NPT-143,NPT-144,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27bd1319,,,,,,,,,,,,NPT-124,Useful links menu/sidebar (on the right),,,,,,,,,,,,,,,,,0|i01mch:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,21609,Useful links menu/sidebar (on the right),To Do,24/Feb/25 8:01 PM
Button: ”Uniunea Europeană”,NPT-134,21619,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,24/Feb/25 8:01 PM,25/Feb/25 3:41 PM,,,Primariatechirghiol_v1.0_english,,0,"By pressing this button, the end user should be redirected to the website:

[http://europa.eu/index_ro|http://europa.eu/index_ro] ",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-124,NPT-138,NPT-139,NPT-140,NPT-143,NPT-144,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3ffd11b4,,,,,,,,,,,,NPT-124,Useful links menu/sidebar (on the right),,,,,,,,,,,,,,,,,0|i01mc9:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,21609,Useful links menu/sidebar (on the right),To Do,24/Feb/25 8:01 PM
Button: ”Camera Deputaților”,NPT-133,21618,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,24/Feb/25 7:59 PM,25/Feb/25 3:41 PM,,,Primariatechirghiol_v1.0_english,,0,"By pressing this button, the end user should be redirected to the website:

[http://www.cdep.ro|http://www.cdep.ro/]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-124,NPT-138,NPT-139,NPT-140,NPT-143,NPT-144,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74ebdd43,,,,,,,,,,,,NPT-124,Useful links menu/sidebar (on the right),,,,,,,,,,,,,,,,,0|i01mc1:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,21609,Useful links menu/sidebar (on the right),To Do,24/Feb/25 7:59 PM
Button: ”Senatul României”,NPT-132,21617,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,24/Feb/25 7:58 PM,25/Feb/25 3:41 PM,,,Primariatechirghiol_v1.0_english,,0,"By pressing this button, the end user should be redirected to the website:

[http://www.senat.ro|http://www.senat.ro/]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-124,NPT-138,NPT-139,NPT-140,NPT-143,NPT-144,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27c2592d,,,,,,,,,,,,NPT-124,Useful links menu/sidebar (on the right),,,,,,,,,,,,,,,,,0|i01mbt:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,21609,Useful links menu/sidebar (on the right),To Do,24/Feb/25 7:58 PM
Button: ”Guvernul României”,NPT-131,21616,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,24/Feb/25 7:58 PM,25/Feb/25 3:41 PM,,,Primariatechirghiol_v1.0_english,,0,"By pressing this button, the end user should be redirected to the website:

[http://www.guv.ro|http://www.guv.ro/]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-124,NPT-138,NPT-139,NPT-140,NPT-143,NPT-144,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@d699c06,,,,,,,,,,,,NPT-124,Useful links menu/sidebar (on the right),,,,,,,,,,,,,,,,,0|i01mbl:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,21609,Useful links menu/sidebar (on the right),To Do,24/Feb/25 7:58 PM
Button: ”Președintele României”,NPT-130,21615,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,24/Feb/25 7:57 PM,25/Feb/25 3:41 PM,25/Feb/25 3:41 PM,,Primariatechirghiol_v1.0_english,,0,"This button should redirect the end user to the website:

[http://www.presidency.ro|http://www.presidency.ro/]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-124,NPT-138,NPT-139,NPT-140,NPT-143,NPT-144,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ee7f3f8,,,,,,,,,,,,NPT-124,Useful links menu/sidebar (on the right),,,,,,,,,,,,,,,,,0|i01mbd:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,21609,Useful links menu/sidebar (on the right),To Do,24/Feb/25 7:57 PM
